__time,/cosine,/dict/a,/dict/b,/float,/int,/list[0],/list[1],/list[2],/mug/attitude/pitch,/mug/attitude/roll,/mug/attitude/yaw,/mug/position/x,/mug/position/y,/mug/position/z,/mug/setpoint/clamped pitch,/mug/setpoint/clamped roll,/mug/setpoint/yaw,/sine,/ts
1733870883.971590,,,,,,,,,-0.117125304,-0.063632664,0.023596970,-0.023510742,0.003534475,-0.021503656,-0.729176616,-1.342157117,1.352006795,,8.445000000
1733870883.972913,,,,,,,,,-0.117125304,-0.063632664,0.023596970,-0.023510742,0.003534475,-0.021503656,-0.729176616,-1.342157117,1.352006795,,8.446000000
1733870883.974218,,,,,,,,,-0.117125304,-0.063632664,0.023596970,-0.023510742,0.003534475,-0.021503656,-0.729176616,-1.342157117,1.352006795,,8.447000000
1733870883.975582,,,,,,,,,-0.117524218,-0.059239072,0.038717737,-0.023899126,0.002588675,-0.019416327,-0.678829757,-1.346728340,2.218362919,,8.449000000
1733870883.976899,,,,,,,,,-0.117524218,-0.059239072,0.038717737,-0.023899126,0.002588675,-0.019416327,-0.678829757,-1.346728340,2.218362919,,8.450000000
1733870883.978204,,,,,,,,,-0.117524218,-0.059239072,0.038717737,-0.023899126,0.002588675,-0.019416327,-0.678829757,-1.346728340,2.218362919,,8.451000000
1733870883.979547,,,,,,,,,-0.117524218,-0.059239072,0.038717737,-0.023899126,0.002588675,-0.019416327,-0.678829757,-1.346728340,2.218362919,,8.452000000
1733870883.980861,,,,,,,,,-0.128494207,-0.043018196,0.032031437,-0.023953415,0.002495596,-0.017646421,-0.492952218,-1.472435150,1.835266148,,8.454000000
1733870883.982170,,,,,,,,,-0.128494207,-0.043018196,0.032031437,-0.023953415,0.002495596,-0.017646421,-0.492952218,-1.472435150,1.835266148,,8.455000000
1733870883.983475,,,,,,,,,-0.128494207,-0.043018196,0.032031437,-0.023953415,0.002495596,-0.017646421,-0.492952218,-1.472435150,1.835266148,,8.456000000
1733870883.984781,,,,,,,,,-0.128494207,-0.043018196,0.032031437,-0.023953415,0.002495596,-0.017646421,-0.492952218,-1.472435150,1.835266148,,8.458000000
1733870883.986201,,,,,,,,,-0.129709472,-0.025636614,0.049521978,-0.024328957,0.001723889,-0.015488303,-0.293773958,-1.486361063,2.837400343,,8.459000000
1733870883.987540,,,,,,,,,-0.129709472,-0.025636614,0.049521978,-0.024328957,0.001723889,-0.015488303,-0.293773958,-1.486361063,2.837400343,,8.460000000
1733870883.988864,,,,,,,,,-0.129709472,-0.025636614,0.049521978,-0.024328957,0.001723889,-0.015488303,-0.293773958,-1.486361063,2.837400343,,8.462000000
1733870883.990219,,,,,,,,,-0.129709472,-0.025636614,0.049521978,-0.024328957,0.001723889,-0.015488303,-0.293773958,-1.486361063,2.837400343,,8.463000000
1733870883.991495,,,,,,,,,-0.127387805,-0.014328082,0.048831321,-0.024315502,0.001333830,-0.013601085,-0.164187729,-1.459756715,2.797828630,,8.464000000
1733870883.992801,,,,,,,,,-0.127387805,-0.014328082,0.048831321,-0.024315502,0.001333830,-0.013601085,-0.164187729,-1.459756715,2.797828630,,8.466000000
